date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:21:46	77160/77160	---M--	200	added ('OK')	application/octet-stream	etag:%225db966ed-12d68%22	https://naturamoz.org.mz/static/home2/fonts/fontawesome-webfont.woff2?v=4.7.0	E:/explicador/NaturaWebSite/naturamoz.org.mz/static/home2/fonts/fontawesome-webfont3e6e.woff2	(from https://naturamoz.org.mz/static/home2/css/font-awesome.min.css)
18:21:46	98024/98024	---M--	200	added ('OK')	application/font-woff	etag:%225db966ed-17ee8%22	https://naturamoz.org.mz/static/home2/fonts/fontawesome-webfont.woff?v=4.7.0	E:/explicador/NaturaWebSite/naturamoz.org.mz/static/home2/fonts/fontawesome-webfont3e6e.woff	(from https://naturamoz.org.mz/static/home2/css/font-awesome.min.css)
18:21:47	165548/165548	---M--	200	added ('OK')	application/octet-stream	etag:%225db966ed-286ac%22	https://naturamoz.org.mz/static/home2/fonts/fontawesome-webfont.ttf?v=4.7.0	E:/explicador/NaturaWebSite/naturamoz.org.mz/static/home2/fonts/fontawesome-webfont3e6e.ttf	(from https://naturamoz.org.mz/static/home2/css/font-awesome.min.css)
18:21:51	79446/79446	---MCZ	200	added ('OK')	text/css	etag:W/%225dc032d4-13656%22	https://naturamoz.org.mz/static/gallery2/css/style.css	E:/explicador/NaturaWebSite/naturamoz.org.mz/static/gallery2/css/style.css	(from https://naturamoz.org.mz/gallery/)
18:21:52	447050/447050	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225db966ed-6d24a%22	https://naturamoz.org.mz/static/home2/fonts/fontawesome-webfont.svg?v=4.7.0	E:/explicador/NaturaWebSite/naturamoz.org.mz/static/home2/fonts/fontawesome-webfont3e6e.svg	(from https://naturamoz.org.mz/static/home2/css/font-awesome.min.css)
18:21:53	37414/37414	---MCZ	200	added ('OK')	text/css	etag:W/%225db966ed-9226%22	https://naturamoz.org.mz/static/gallery2/css/font-awesome.css	E:/explicador/NaturaWebSite/naturamoz.org.mz/static/gallery2/css/font-awesome.css	(from https://naturamoz.org.mz/gallery/)
18:21:58	424620/424620	---M--	200	added ('OK')	image/jpeg	etag:%225ddd04b0-67aac%22	https://naturamoz.org.mz/media/home/03058334-4557-48f4-b910-5b9c0461f734.jpg	E:/explicador/NaturaWebSite/naturamoz.org.mz/media/home/03058334-4557-48f4-b910-5b9c0461f734.jpg	(from https://naturamoz.org.mz/gallery/)
18:22:01	223438/223438	---M--	200	added ('OK')	image/jpeg	etag:%225ddd083c-368ce%22	https://naturamoz.org.mz/media/home/8938643c-ca0e-4d5a-9430-6e29c4b5d2db.jpg	E:/explicador/NaturaWebSite/naturamoz.org.mz/media/home/8938643c-ca0e-4d5a-9430-6e29c4b5d2db.jpg	(from https://naturamoz.org.mz/gallery/)
18:22:09	859399/859399	---M--	200	added ('OK')	image/png	etag:%225ddd95da-d1d07%22	https://naturamoz.org.mz/media/home/661c9a81-9e0c-4410-acbf-048127677942.png	E:/explicador/NaturaWebSite/naturamoz.org.mz/media/home/661c9a81-9e0c-4410-acbf-048127677942.png	(from https://naturamoz.org.mz/gallery/)
18:22:11	291135/291135	---M--	200	added ('OK')	image/jpeg	etag:%225ddd07f8-4713f%22	https://naturamoz.org.mz/media/home/85835dc2-9230-48bb-9bdb-489beafa8bc6.jpg	E:/explicador/NaturaWebSite/naturamoz.org.mz/media/home/85835dc2-9230-48bb-9bdb-489beafa8bc6.jpg	(from https://naturamoz.org.mz/gallery/)
